Employee_id,Full_Name,Age,Age_Group,Education_Level,Department,Job_Role,Job_Level,Employment_Type,Base_Salary_Annual,Manager_Id,Store_Id,Hire_Date,Exit_Date,Is_Active,Tenure_Days
EMP000001,Marie Kim DDS,23,Gen Z,Master's,Store Operations,Cashier,Entry,Full-time,25745.400390625,EMP001131,STR058,2021-04-26,2022-04-13,0,352
EMP000002,Danny Morgan,26,Millennial,Master's,Store Operations,Sales Associate,Associate,Full-time,39408.5703125,EMP002456,STR137,2021-09-03,NULL,1,1215
EMP000003,Crystal Robinson,38,Millennial,Bachelor's,Store Operations,Cashier,Entry,Full-time,29319.939453125,EMP000529,STR008,2016-08-25,NULL,1,3050
EMP000004,Mark Perez,33,Millennial,Bachelor's,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,43979.87890625,EMP001305,STR063,2021-12-10,NULL,1,1117
EMP000005,Shannon Jones,24,Gen Z,High School,Store Operations,Cashier,Entry,Full-time,23560.189453125,EMP001823,STR109,2018-02-24,NULL,1,2502
EMP000006,Michael Lewis,36,Millennial,Bachelor's,Store Operations,Sales Associate,Associate,Part-time,17923.16015625,EMP002436,STR120,2019-03-03,NULL,1,2130
EMP000007,Timothy Duncan,45,Gen X,Bachelor's,Store Operations,Sales Associate,Associate,Full-time,28697,EMP002585,STR048,2021-11-15,NULL,1,1142
EMP000008,Richard Aguirre,27,Millennial,High School,Store Operations,Cashier,Entry,Full-time,30661.759765625,EMP002684,STR144,2019-01-26,2021-04-04,0,799
EMP000009,Brent Jordan,36,Millennial,Some College,Store Operations,Sales Associate,Associate,Full-time,35213.37890625,EMP002712,STR034,2021-01-26,2024-10-02,0,1345
EMP000010,John Daniel,37,Millennial,Master's,Store Operations,Sales Associate,Associate,Full-time,36496.87109375,EMP000053,STR140,2019-06-25,NULL,1,2016
EMP000011,Victoria Garcia,37,Millennial,Bachelor's,Store Operations,Cashier,Entry,Full-time,22205.83984375,EMP000121,STR046,2018-03-30,NULL,1,2468
EMP000012,Gerald Hensley,42,Gen X,Bachelor's,Store Operations,Cashier,Entry,Full-time,31699.099609375,EMP000240,STR105,2019-09-01,NULL,1,1948
EMP000013,Connor West,36,Millennial,Some College,Store Operations,Cashier,Entry,Full-time,30324.4296875,EMP000520,STR099,2018-06-10,NULL,1,2396
EMP000014,Donald Wright,39,Millennial,Bachelor's,Store Operations,Cashier,Entry,Part-time,14474.0302734375,EMP000767,STR099,2017-08-01,NULL,1,2709
EMP000015,Jessica Callahan,37,Millennial,Bachelor's,Store Operations,Sales Associate,Associate,Part-time,18109.140625,EMP001026,STR028,2020-12-03,NULL,1,1489
EMP000016,Amber Kidd,28,Millennial,Some College,Store Operations,Sales Associate,Associate,Full-time,30200.849609375,EMP001224,STR053,2021-10-24,NULL,1,1164
EMP000017,Tracy House,52,Gen X,High School,Store Operations,Sales Associate,Associate,Full-time,31650.91015625,EMP001026,STR007,2014-06-02,NULL,1,3865
EMP000018,Carol Tucker,36,Millennial,Some College,Store Operations,Cashier,Entry,Full-time,27247.560546875,EMP001447,STR109,2019-04-28,NULL,1,2074
EMP000019,James Brown,25,Gen Z,High School,Store Operations,Cashier,Entry,Part-time,15791.669921875,EMP001680,STR019,2021-10-24,NULL,1,1164
EMP000020,William Baker,42,Gen X,Some College,Store Operations,Cashier,Entry,Full-time,24912.2890625,EMP002163,STR001,2020-02-24,NULL,1,1772
EMP000021,Jordan Henderson,36,Millennial,Bachelor's,Store Operations,Cashier,Entry,Seasonal,11247.41015625,EMP002493,STR149,2021-06-13,NULL,1,1297
EMP000022,Whitney Peters,29,Millennial,Some College,Store Operations,Sales Associate,Associate,Full-time,29673.9296875,EMP002827,STR001,2019-05-26,NULL,1,2046
EMP000023,Brittney Phillips,29,Millennial,Some College,Store Operations,Cashier,Entry,Full-time,24921.44921875,EMP001131,STR060,2021-10-03,2024-12-02,0,1156
EMP000024,Lauren Daniels,26,Millennial,High School,Store Operations,Sales Associate,Associate,Part-time,19437.810546875,EMP002456,STR046,2021-04-14,NULL,1,1357
EMP000025,Amy Silva,26,Millennial,High School,Store Operations,Sales Associate,Associate,Full-time,33472.83984375,EMP000529,STR118,2016-02-03,NULL,1,3254
EMP000026,Sarah Moore,48,Gen X,Master's,Store Operations,Cashier,Entry,Part-time,17911.060546875,EMP001305,STR098,2018-12-21,2019-04-18,0,118
EMP000027,Angela Lopez,34,Millennial,High School,Store Operations,Sales Associate,Associate,Full-time,30396.08984375,EMP001823,STR110,2018-10-17,NULL,1,2267
EMP000028,Megan Young,33,Millennial,Master's,Store Operations,Sales Associate,Associate,Full-time,34170.80859375,EMP002436,STR118,2019-07-25,NULL,1,1986
EMP000029,Steve Sanchez,40,Millennial,High School,Store Operations,Cashier,Entry,Part-time,16754.490234375,EMP002585,STR038,2020-11-14,NULL,1,1508
EMP000030,Lisa Barnes,37,Millennial,Bachelor's,Store Operations,Sales Associate,Associate,Full-time,28557.400390625,EMP002684,STR030,2016-11-12,NULL,1,2971
EMP000031,Kelly Donovan,43,Gen X,Some College,Store Operations,Sales Associate,Associate,Contractor,38819.58984375,EMP002712,STR126,2018-10-18,2019-06-30,0,255
EMP000032,Mike Allen,30,Millennial,Bachelor's,Store Operations,Sales Associate,Associate,Full-time,30046.2890625,EMP000053,STR025,2020-01-29,NULL,1,1798
EMP000033,Michael Evans,35,Millennial,Bachelor's,Store Operations,Cashier,Entry,Full-time,22650.51953125,EMP000121,STR012,2021-01-28,NULL,1,1433
EMP000034,Paul Jones,26,Millennial,High School,Store Operations,Cashier,Entry,Full-time,31488.859375,EMP000240,STR094,2021-02-25,NULL,1,1405
EMP000035,Zachary Ferrell,35,Millennial,Bachelor's,Store Operations,Cashier,Entry,Full-time,31656.3203125,EMP000520,STR014,2021-07-22,NULL,1,1258
EMP000036,Daniel Baker,38,Millennial,Some College,Store Operations,Cashier,Entry,Full-time,30083.970703125,EMP000767,STR015,2020-06-07,NULL,1,1668
EMP000037,Shirley Suarez,21,Gen Z,Some College,Store Operations,Senior Sales Associate,Senior_Associate,Part-time,23741.51953125,EMP001224,STR111,2021-01-31,NULL,1,1430
EMP000038,Christopher Bass,33,Millennial,Master's,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,36465.078125,EMP001447,STR064,2020-10-06,NULL,1,1547
EMP000039,Lisa Archer,27,Millennial,Bachelor's,Store Operations,Sales Associate,Associate,Part-time,21726.48046875,EMP001680,STR137,2020-07-15,NULL,1,1630
EMP000040,Aimee Montoya,31,Millennial,High School,Store Operations,Cashier,Entry,Seasonal,10560.6103515625,EMP002163,STR118,2012-01-04,2020-10-10,0,3202
EMP000041,Matthew Mcmillan,24,Gen Z,High School,Store Operations,Cashier,Entry,Full-time,23220.380859375,EMP002493,STR020,2018-01-03,2022-05-16,0,1594
EMP000042,Brian Rodriguez,51,Gen X,High School,Store Operations,Sales Associate,Associate,Full-time,33942.12109375,EMP002827,STR010,2021-08-20,NULL,1,1229
